id,symbol,name,current_price,market_cap,total_volume,timestamp
bitcoin,btc,Bitcoin,67358.0,1347256028482,24718352685,2026-03-07 23:40:45.048207
ethereum,eth,Ethereum,1973.02,238140042535,9630252592,2026-03-07 23:40:45.048207
tether,usdt,Tether,0.999984,183970335869,39108915840,2026-03-07 23:40:45.048207
binancecoin,bnb,BNB,620.45,84602453193,517345234,2026-03-07 23:40:45.048207
ripple,xrp,XRP,1.36,83064026264,1151879653,2026-03-07 23:40:45.048207
usd-coin,usdc,USDC,0.999999,77259312826,2272712411,2026-03-07 23:40:45.048207
solana,sol,Solana,83.19,47471456972,1903711419,2026-03-07 23:40:45.048207
tron,trx,TRON,0.286599,27152760053,328970400,2026-03-07 23:40:45.048207
figure-heloc,figr_heloc,Figure Heloc,1.024,16030637783,156030,2026-03-07 23:40:45.048207
dogecoin,doge,Dogecoin,0.089934,13787851730,571687369,2026-03-07 23:40:45.048207
